itemId,account,category,oldTier,newTier,h,w,l,weightG,status,error
MLB4281106312,JOTABÊ AUTOPEÇAS,MLB63512,MEDIUM,LARGE,30,40,50,5000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_length] are too small for the product dimensions)
MLB3540416027,JOTABÊ AUTOPEÇAS,MLB63736,MEDIUM_FLAT,LARGE,30,40,50,5000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_length] are too small for the product dimensions)
MLB3542629077,JOTABÊ AUTOPEÇAS,MLB47102,SMALL,MEDIUM,25,25,25,2000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_width; seller_package_height] are too small for the product dimensions)
MLB4309743896,JOTABÊ AUTOPEÇAS,MLB116012,SMALL,MEDIUM,25,25,25,2000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_width; seller_package_height] are too small for the product dimensions)
MLB4304300288,JOTABÊ AUTOPEÇAS,MLB22704,MEDIUM,LARGE,30,40,50,5000,ok,
MLB3554292541,JOTABÊ AUTOPEÇAS,MLB193933,SMALL_LONG,MEDIUM,25,25,25,2000,ok,
MLB4334963650,JOTABÊ AUTOPEÇAS,MLB47110,MEDIUM,LARGE,30,40,50,5000,ok,
MLB4344170250,JOTABÊ AUTOPEÇAS,MLB63512,MEDIUM,LARGE,30,40,50,5000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_length] are too small for the product dimensions)
MLB4341228706,JOTABÊ AUTOPEÇAS,MLB191714,SMALL,MEDIUM,25,25,25,2000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_height] are too small for the product dimensions)
MLB4344066514,JOTABÊ AUTOPEÇAS,MLB63512,MEDIUM,LARGE,30,40,50,5000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_length] are too small for the product dimensions)
