productId,h,w,l,weightKg,source,itemRef,error
"cmnckfekd021yvs60mrn9f51e","25","25","25","2","cat:MLB22645->MEDIUM","MLB4597805122",""
"cmnckbo4v011dvs9k8pq87451","25","25","25","2","cat:MLB22645->MEDIUM","MLB3654309453",""
"cmnckbnjz011bvs9ka113fomn","25","25","25","2","cat:MLB22645->MEDIUM","MLB3654263371",""
"cmncla47v0007vs1c2nk05d1t","25","25","25","2","cat:MLB47110->MEDIUM","MLB3565198129",""
"cmnckfekd0220vs60hnmdtc4h","25","25","25","2","cat:MLB22645->MEDIUM","MLB4598491988",""
"cmnckfekd0221vs60xc1cesf0","25","25","25","2","cat:MLB22645->MEDIUM","MLB4598828558",""
"cmnckfekd021zvs60levrkun2","25","25","25","2","cat:MLB22645->MEDIUM","MLB4597818700",""
"cmnclac7t01wsvs1ciq94och8","25","25","25","2","cat:MLB278120->MEDIUM","MLB4604379024",""
"cmnclaqkb04jnvs1c6dcuf54e","30","50","80","12","kw:XLARGE","MLB4613513290",""
"cmnckbpar011hvs9k00jitprm","25","25","25","2","cat:MLB22645->MEDIUM","MLB3655399103",""
"cmnclamef03tvvs1cwdu2duiw","15","15","15","0.6","cat:MLB191714->SMALL","MLB3659374237",""
"cmnckbpvo011jvs9k1fotqs32","25","25","25","2","cat:MLB22645->MEDIUM","MLB3660735519",""
"cmnckfekd022kvs60afhfezld","30","50","80","12","cat:MLB101763->XLARGE","MLB4632258064",""
"cmnclac7t01wuvs1ceaxid0yx","15","15","15","0.6","cat:MLB270299->SMALL","MLB4628574560",""
"cmnckbqgk011lvs9ku4m3s7p0","15","15","15","0.6","cat:MLB194800->SMALL","MLB3662316811",""
"cmnclac7t01wtvs1cfxiycyje","15","15","15","0.6","cat:MLB270299->SMALL","MLB4626655160",""
"cmnckfekd0226vs60n6usngrv","10","10","10","0.3","cat:MLB115598->TINY","MLB4629235268",""
"cmnclac7u01wvvs1cypdoasoy","15","40","40","2","cat:MLB277543->MEDIUM_FLAT","MLB4629165986",""
"cmnclamef03twvs1cwct7okuh","15","15","15","0.6","cat:MLB63846->SMALL","MLB3661913651",""
"cmnckbkn50111vs9k08pccgt5","25","25","25","2","cat:MLB22645->MEDIUM","MLB3654116395",""
"cmnclac7u01wwvs1ck7v2xb07","15","15","15","0.6","fallback:SMALL","MLB4629353792",""
"cmnclamef03tyvs1ckegex6t8","30","40","50","5","cat:MLB7863->LARGE","MLB3668886557",""
"cmnckbr1k011nvs9khehdbls2","10","10","10","0.3","cat:MLB115598->TINY","MLB3668773341",""
"cmnckfekd0224vs60wrzg9izc","10","10","10","0.3","cat:MLB115598->TINY","MLB4616633432",""
"cmncla47v0008vs1cq5rg8697","10","10","10","0.3","cat:MLB22668->TINY","MLB3663077737",""
"cmnckfekd0228vs60s5v11ka3","10","10","10","0.3","cat:MLB115598->TINY","MLB4629352332",""
"cmncla47v0009vs1cwoqmrju8","15","15","15","0.6","cat:MLB270299->SMALL","MLB3668521719",""
"cmnckbrqm011pvs9k4dhyneqp","10","10","10","0.3","cat:MLB115598->TINY","MLB3669128763",""
"cmncla47v000avs1c4apfaqqb","30","50","80","12","cat:MLB194752->XLARGE","MLB3668834507",""
"cmnclamef03txvs1cgq2c4yf1","30","40","50","5","cat:MLB7863->LARGE","MLB3662042027",""
"cmnckfekd0229vs609byu9gik","10","10","10","0.3","cat:MLB115598->TINY","MLB4629555850",""
"cmnckfekd0225vs60emec5h11","10","10","10","0.3","cat:MLB115598->TINY","MLB4629226032",""
"cmnckfekd022lvs605bpyfmin","10","10","10","0.3","cat:MLB115598->TINY","MLB4635497536",""
"cmncla47v000dvs1cdwek7ci1","25","25","25","2","cat:MLB194174->MEDIUM","MLB3670375489",""
"cmnckfekd022bvs60685dhu0t","30","50","80","12","cat:MLB101763->XLARGE","MLB4631401150",""
"cmnckfekd022avs60uei5il44","10","10","10","0.3","cat:MLB115598->TINY","MLB4631256262",""
"cmncla47v000evs1caqlxgocy","25","25","25","2","cat:MLB194174->MEDIUM","MLB3670452017",""
"cmnckfekd022evs6013nplel1","30","50","80","12","cat:MLB101763->XLARGE","MLB4632082680",""
"cmnckbsbi011rvs9k0inaiuw8","30","50","80","12","cat:MLB101763->XLARGE","MLB3670586891",""
"cmnckfekd022ivs6014sqkszc","30","50","80","12","cat:MLB101763->XLARGE","MLB4632230206",""
