itemId,account,category,title,derivedSku,skuSource,price,stock,h,w,l,weightKg,dimSource,mlCategoryLocalId,existingProductId,action,error,newProductId,newListingId,commitError
"MLB6556545068","JOTABÊ AUTOPEÇAS","MLB2221","Buzina Caracol Peugeot 206 2001","28645","SELLER_SKU","19","1","10","10","10","0.3","cat:MLB2221->TINY","cmmwbyyrk0324vsakomoh9hss","","create-new","","cmnwf1ngc0burvs4w8tz6is81","cmnwf1np00butvs4wva65thnc",""
"MLB6556121292","JOTABÊ AUTOPEÇAS","MLB47089","Painel De Instrumento Nissan March 2015 Preto","28629","SELLER_SKU","160","1","15","40","40","2","cat:MLB47089->MEDIUM_FLAT","cmmwbz0kd0338vsakfarrneid","","create-new","","cmnwf1o930buvvs4waz67v6tv","cmnwf1ogz0buxvs4w6lblgskr",""
"MLB6555508300","JOTABÊ AUTOPEÇAS","MLB63548","Painel Instrumentos Chevrolet Onix Prisma 2012 2015 Preto","28605","SELLER_SKU","339","1","15","40","40","2","cat:MLB63548->MEDIUM_FLAT","cmmwc6amw08z6vsak6jxxbvke","","create-new","","cmnwf1p0i0buzvs4wigjfkdks","cmnwf1p8g0bv1vs4w96n4exk0",""
"MLB6556191172","JOTABÊ AUTOPEÇAS","MLB47089","Painel De Instrumento Honda Fit 2011 Preto","28628","SELLER_SKU","189","1","15","40","40","2","cat:MLB47089->MEDIUM_FLAT","cmmwbz0kd0338vsakfarrneid","","create-new","","cmnwf1ps10bv3vs4wbgp5edk0","cmnwf1q000bv5vs4wsyuserb8",""
"MLB6556469834","JOTABÊ AUTOPEÇAS","MLB194800","Limitador Porta Traseira Direita Volkswagen Gol G3 1999","28643","SELLER_SKU","19","1","15","15","15","0.6","cat:MLB194800->SMALL","cmmwc3pc406v6vsakd0ag74a2","","create-new","","cmnwf1qjj0bv7vs4w8y2ffunk","cmnwf1qrc0bv9vs4wg43e0iq3",""
"MLB6556403180","JOTABÊ AUTOPEÇAS","MLB432458","Tampa Caixa Fusivel Volkswagen Gol G3 1999","28632","SELLER_SKU","49","1","15","15","15","0.6","cat:MLB432458->SMALL","cmmwbz0kd033evsakrb7r8cyh","","create-new","","cmnwf1raw0bvbvs4w1aojvf6d","cmnwf1rit0bvdvs4wo94x5pvd",""
"MLB6556429516","JOTABÊ AUTOPEÇAS","MLB270896","Bomba Reservatório Partida Frio Fiat Punto 1.6 2014","28637","SELLER_SKU","19","1","15","15","15","0.6","kw:SMALL","cmmwbyx42030qvsak07fxqx3g","","create-new","","cmnwf1s2e0bvfvs4wizyowpyb","cmnwf1sac0bvhvs4wzmzzhbjn",""
"MLB6556189620","JOTABÊ AUTOPEÇAS","MLB47089","Painel De Instrumento Toyota Corolla 2004 Preto","28627","SELLER_SKU","200","1","15","40","40","2","cat:MLB47089->MEDIUM_FLAT","cmmwbz0kd0338vsakfarrneid","","create-new","","cmnwf1su10bvjvs4wpwcxigql","cmnwf1t1y0bvlvs4wuwysp0w7",""
"MLB6556550058","JOTABÊ AUTOPEÇAS","MLB194431","Fechadura Traseira Esquerda Volkswagen Gol G4 2007","28647","SELLER_SKU","29","1","15","15","15","0.6","cat:MLB194431->SMALL","cmmwbyu8402y4vsak8eajhedp","","create-new","","cmnwf1tln0bvnvs4wjvupjubw","cmnwf1ttj0bvpvs4wh2lli9cz",""
"MLB6555665006","JOTABÊ AUTOPEÇAS","MLB192761","Sensor Detonaçao Chevrolet Corsa 1.0 2005","28616","SELLER_SKU","29","1","10","10","10","0.3","kw:TINY","cmmwc42ap075pvsakogc9h7m6","","create-new","","cmnwf1ud60bvrvs4w3z8nu1j2","cmnwf1ukz0bvtvs4wu5r32g54",""
"MLB6556910774","JOTABÊ AUTOPEÇAS","MLB458447","Maçaneta Interna Direita Fiat Uno 2002 Preto Dianteira","28655","SELLER_SKU","19","1","15","15","15","0.6","kw:SMALL","cmmwc49ig07bovsak3cchbpkf","","create-new","","cmnwf1v4i0bvvvs4wzriudsj3","cmnwf1vch0bvxvs4w7fhg8zkp",""
"MLB6555828786","JOTABÊ AUTOPEÇAS","MLB47089","Painel De Instrumento Peugeot 206 2004 Preto","28619","SELLER_SKU","110","1","15","40","40","2","cat:MLB47089->MEDIUM_FLAT","cmmwbz0kd0338vsakfarrneid","","create-new","","cmnwf1vw40bvzvs4wtyzctzkt","cmnwf1w420bw1vs4wjl68nn3s",""
"MLB6555686954","JOTABÊ AUTOPEÇAS","MLB192362","Sensor Map Chevrolet Celta Corsa Classic 1.0","28613","SELLER_SKU","29","1","10","10","10","0.3","kw:TINY","cmmwc42ai075mvsakeg8w0mn0","","create-new","","cmnwf1wno0bw3vs4ws33ocyc1","cmnwf1wvl0bw5vs4wrwvtcqft",""
"MLB6556518580","JOTABÊ AUTOPEÇAS","MLB31156","Puxador Apoio Braço Dianteiro Esquerdo Fiat Uno 2008 Preto","28642","SELLER_SKU","19","1","10","10","50","0.8","cat:MLB31156->SMALL_LONG","cmmwbyzgx032nvsakx626btxf","","create-new","","cmnwf1xfc0bw7vs4whgr11jlz","cmnwf1xn50bw9vs4w7vutofhf",""
"MLB6556739136","JOTABÊ AUTOPEÇAS","MLB47089","Painel De Instrumento Citroen C3 2008 Preto","28649","SELLER_SKU","75","2","15","40","40","2","cat:MLB47089->MEDIUM_FLAT","cmmwbz0kd0338vsakfarrneid","","create-new","","cmnwf1y6u0bwbvs4wxl8f4abc","cmnwf1yet0bwdvs4wd2uz5w7o",""
"MLB6554995064","JOTABÊ AUTOPEÇAS","MLB63548","Painel Instrumentos Honda Civic 2011 Preto","28587","SELLER_SKU","129","1","15","40","40","2","cat:MLB63548->MEDIUM_FLAT","cmmwc6amw08z6vsak6jxxbvke","","create-new","","cmnwf1z2e0bwfvs4w4fncaroe","cmnwf1za90bwhvs4wt5e2yngx",""
"MLB6554782338","JOTABÊ AUTOPEÇAS","MLB63548","Painel Instrumentos Nissan Livina 2013 2014 2015 Preto","28583","SELLER_SKU","99","1","15","40","40","2","cat:MLB63548->MEDIUM_FLAT","cmmwc6amw08z6vsak6jxxbvke","","create-new","","cmnwf1ztv0bwjvs4w2n995fou","cmnwf201n0bwlvs4w9lwz0q6f",""
"MLB4580485743","JOTABÊ AUTOPEÇAS","MLB191713","Guia Vidro Dianteira Esquerdo Ford Ka 2015 Preto","28648","SELLER_SKU","19","1","10","10","50","0.8","cat:MLB191713->SMALL_LONG","cmmwc42ub0766vsakpmh0vooi","","create-new","","cmnwf20l10bwnvs4wfho2gwes","cmnwf20t00bwpvs4wyjray1kn",""
"MLB6555503840","JOTABÊ AUTOPEÇAS","MLB63548","Painel  Instrumentos Honda Civic G10 2019 Preto","28601","SELLER_SKU","599","1","15","40","40","2","cat:MLB63548->MEDIUM_FLAT","cmmwc6amw08z6vsak6jxxbvke","","create-new","","cmnwf21cr0bwrvs4wb9bq7ojk","cmnwf21kn0bwtvs4wq7vspqd6",""
"MLB4580578675","JOTABÊ AUTOPEÇAS","MLB459460","Painel De Instrumento Honda Fit 2008","28651","SELLER_SKU","125","1","15","15","15","0.6","fallback:SMALL","cmmwc3kv606rnvsak9m1eibgz","","create-new","","cmnwf22480bwvvs4worqp9fhc","cmnwf22c30bwxvs4wmp47ot1a",""
"MLB6554995976","JOTABÊ AUTOPEÇAS","MLB47089","Painel De Instrumento Citroën C3 2015 Preto","28588","SELLER_SKU","230","1","15","40","40","2","cat:MLB47089->MEDIUM_FLAT","cmmwbz0kd0338vsakfarrneid","","create-new","","cmnwf22vn0bwzvs4whml4esce","cmnwf233k0bx1vs4wjjgx3goq",""
"MLB6555175934","JOTABÊ AUTOPEÇAS","MLB63548","Painel Instrumentos Renault Logan Sandero 2010 Preto","28594","SELLER_SKU","89","1","15","40","40","2","cat:MLB63548->MEDIUM_FLAT","cmmwc6amw08z6vsak6jxxbvke","","create-new","","cmnwf23n30bx3vs4w2znh837k","cmnwf23v00bx5vs4w44ezybfy",""
"MLB6555009844","JOTABÊ AUTOPEÇAS","MLB63548","Painel Instrumento Velocimetro Mitsubishi Asx 2012 Preto","28590","SELLER_SKU","259","1","15","40","40","2","cat:MLB63548->MEDIUM_FLAT","cmmwc6amw08z6vsak6jxxbvke","","create-new","","cmnwf24er0bx7vs4wk8poehnf","cmnwf24mn0bx9vs4wqw1gbyoz",""
"MLB4580489153","JOTABÊ AUTOPEÇAS","MLB433573","Suporte Maçaneta Externa Traseira Direita Chevrolet Prisma","28646","SELLER_SKU","19","1","15","15","15","0.6","kw:SMALL","cmmwbyzzo0333vsak641xo6u4","","create-new","","cmnwf256b0bxbvs4w6oykjg8d","cmnwf25ea0bxdvs4wjbghqu5j",""
"MLB4580583011","JOTABÊ AUTOPEÇAS","MLB194800","Limitador Porta Traseira Direita Ford Ka 2018","28654","SELLER_SKU","19","1","15","15","15","0.6","cat:MLB194800->SMALL","cmmwc3pc406v6vsakd0ag74a2","","create-new","","cmnwf25xy0bxfvs4www5sq4w6","cmnwf265p0bxhvs4w4zpvd9tm",""
"MLB6554955930","JOTABÊ AUTOPEÇAS","MLB63548","Painel Instrumentos Fiat Idea 2015 Preto","28586","SELLER_SKU","199","1","15","40","40","2","cat:MLB63548->MEDIUM_FLAT","cmmwc6amw08z6vsak6jxxbvke","","create-new","","cmnwf26pe0bxjvs4w4x92njk3","cmnwf26x40bxlvs4wkg2jr3ga",""
"MLB4580600391","JOTABÊ AUTOPEÇAS","MLB47089","Painel De Instrumento Renault Clio 2007 Preto","28656","SELLER_SKU","100","1","15","40","40","2","cat:MLB47089->MEDIUM_FLAT","cmmwbz0kd0338vsakfarrneid","","create-new","","cmnwf27gp0bxnvs4wwoji4u44","cmnwf27ok0bxpvs4wdsahn2uv",""
"MLB4580594141","JOTABÊ AUTOPEÇAS","MLB47089","Painel De Instrumento Honda Fit 2007 Preto","28653","SELLER_SKU","130","1","15","40","40","2","cat:MLB47089->MEDIUM_FLAT","cmmwbz0kd0338vsakfarrneid","","create-new","","cmnwf28820bxrvs4w55weaiv6","cmnwf28fy0bxtvs4wwy0hrht2",""
"MLB6555414940","JOTABÊ AUTOPEÇAS","MLB47089","Painel De Instrumento Hyundai I30 2015 Preto","28600","SELLER_SKU","250","1","15","40","40","2","cat:MLB47089->MEDIUM_FLAT","cmmwbz0kd0338vsakfarrneid","","create-new","","cmnwf28zi0bxvvs4ww8xx78vl","cmnwf29790bxxvs4wjug6sxq5",""
"MLB6554960026","JOTABÊ AUTOPEÇAS","MLB63548","Painel Instrumento Toyota Corolla 1.8 1.6 2009 Preto","28592","SELLER_SKU","149","1","15","40","40","2","cat:MLB63548->MEDIUM_FLAT","cmmwc6amw08z6vsak6jxxbvke","","create-new","","cmnwf29qx0bxzvs4w6s8gwc7i","cmnwf29yr0by1vs4w17yqmnky",""
"MLB4580614631","JOTABÊ AUTOPEÇAS","MLB47089","Painel De Instrumento Renault Clio 2011 Preto","28658","SELLER_SKU","240","1","15","40","40","2","cat:MLB47089->MEDIUM_FLAT","cmmwbz0kd0338vsakfarrneid","","create-new","","cmnwf2aie0by3vs4w2k22ek0u","cmnwf2aq80by5vs4wend4147c",""
"MLB6555158882","JOTABÊ AUTOPEÇAS","MLB47089","Painel De Instrumento Chevrolet Captiva 2009 Preto","28595","SELLER_SKU","150","1","15","40","40","2","cat:MLB47089->MEDIUM_FLAT","cmmwbz0kd0338vsakfarrneid","","create-new","","cmnwf2be10by7vs4wbbt6szjx","cmnwf2blx0by9vs4w5drl41rh",""
"MLB4580738917","JOTABÊ AUTOPEÇAS","MLB428984","Manivela Vidro Traseiro Esquerdo Chevrolet Celta 2002 Preto","28664","SELLER_SKU","8","1","10","10","10","0.3","cat:MLB428984->TINY","cmmwc3qri06whvsakdeeczh8n","","create-new","","cmnwf2c5f0bybvs4w0s6rv1g8","cmnwf2cd90bydvs4wackl7yig",""
