itemId,account,h,w,l,weightG,status,error
MLB3452337173,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3449170167,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3452471733,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4063852150,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB3452299579,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3452363469,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3449779761,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB4049570472,JOTABÊ AUTOPEÇAS,30,50,80,12000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_width; seller_package_length; seller_package_weight] are too small for the product dimensions)
MLB3955208968,JOTABÊ AUTOPEÇAS,30,70,100,18000,ok,
MLB3430451495,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3430266087,JOTABÊ AUTOPEÇAS,30,40,50,5000,ok,
MLB3964051202,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3963911256,JOTABÊ AUTOPEÇAS,30,40,50,5000,ok,
MLB3426480373,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB3430361521,JOTABÊ AUTOPEÇAS,30,50,80,12000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_width; seller_package_length; seller_package_weight] are too small for the product dimensions)
MLB3960987382,JOTABÊ AUTOPEÇAS,30,70,100,18000,ok,
MLB3427702673,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3964479656,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB3963918690,JOTABÊ AUTOPEÇAS,30,40,50,5000,ok,
MLB3429130955,JOTABÊ AUTOPEÇAS,30,70,100,18000,ok,
MLB3428010255,JOTABÊ AUTOPEÇAS,30,70,100,18000,ok,
MLB3963971184,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB3456668455,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB3459002459,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB4085082152,JOTABÊ AUTOPEÇAS,30,40,50,5000,ok,
MLB4081821674,JOTABÊ AUTOPEÇAS,30,50,80,12000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_width; seller_package_length; seller_package_weight] are too small for the product dimensions)
MLB3461636805,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB3459122189,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB4081998760,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB4081608588,JOTABÊ AUTOPEÇAS,30,50,80,12000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_width; seller_package_length; seller_package_weight] are too small for the product dimensions)
MLB4081756406,JOTABÊ AUTOPEÇAS,30,40,50,5000,ok,
MLB4085322198,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3462253937,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3457961961,JOTABÊ AUTOPEÇAS,30,40,50,5000,ok,
MLB3462160557,JOTABÊ AUTOPEÇAS,30,40,50,5000,ok,
MLB4070739592,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB3456792097,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4078794136,JOTABÊ AUTOPEÇAS,30,40,50,5000,ok,
MLB4103619554,JOTABÊ AUTOPEÇAS,30,50,80,12000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_width; seller_package_length; seller_package_weight] are too small for the product dimensions)
MLB4091248438,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB4107401014,JOTABÊ AUTOPEÇAS,30,50,80,12000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_width; seller_package_length; seller_package_weight] are too small for the product dimensions)
MLB4096407354,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB3470451607,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB3469716119,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4103718402,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB3466469907,JOTABÊ AUTOPEÇAS,30,40,50,5000,ok,
MLB4099330014,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4102233312,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB4102627714,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB3464943447,JOTABÊ AUTOPEÇAS,15,40,40,2000,ok,
MLB4106674430,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB3464888539,JOTABÊ AUTOPEÇAS,30,70,100,18000,ok,
MLB4102416030,JOTABÊ AUTOPEÇAS,30,50,80,12000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_width; seller_package_length; seller_package_weight] are too small for the product dimensions)
MLB3467094519,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB4126170840,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB4126275404,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3472384589,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB4126280678,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3472182161,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB3473135339,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB4109549550,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB4120082530,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB4110102446,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB4126307046,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4120037638,JOTABÊ AUTOPEÇAS,30,50,80,12000,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_width; seller_package_length; seller_package_weight] are too small for the product dimensions)
MLB3479490457,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB4128828942,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3482744649,JOTABÊ AUTOPEÇAS,10,10,10,300,ok,
MLB4131558068,JOTABÊ AUTOPEÇAS,10,10,10,300,ok,
MLB3482454679,JOTABÊ AUTOPEÇAS,10,10,10,300,ok,
MLB3482493981,JOTABÊ AUTOPEÇAS,10,10,10,300,ok,
MLB3480955729,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
MLB4130562850,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4131281896,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4140810694,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB3480937911,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB3482426741,JOTABÊ AUTOPEÇAS,10,10,10,300,ok,
MLB4156715804,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4169106470,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
