itemId,account,category,title,derivedSku,skuSource,price,stock,h,w,l,weightKg,dimSource,mlCategoryLocalId,existingProductId,action,error
"MLB4570553455","JOTABÊ AUTOPEÇAS","MLB194062","Engate Cinto Segurança Traseiro Ford Ka 2016","28306","SELLER_SKU","89","1","10","10","50","0.8","cat:MLB194062->SMALL_LONG","cmmwbz0kd033jvsak9jcsjf8i","","create-new",""
"MLB4570715155","JOTABÊ AUTOPEÇAS","MLB22645","Lanterna Traseira Direita Chevrolet Celta 2006 Direito/passageiro Vermelho","28320","SELLER_SKU","40","1","25","25","25","2","cat:MLB22645->MEDIUM","cmmwc40oc074gvsak3q821qhi","","create-new",""
"MLB4571162635","JOTABÊ AUTOPEÇAS","MLB439540","Ventoinha Radiador Fiat Fiorino 2002","28347","SELLER_SKU","129","1","15","15","15","0.6","fallback:SMALL","cmmwc3t6706y0vsak1c753dd9","","create-new",""
"MLB4571458623","JOTABÊ AUTOPEÇAS","MLB271124","Parafuso Estepe Volkswagen Gol G7 2018","28366","SELLER_SKU","39","1","15","15","15","0.6","fallback:SMALL","cmmwbysbo02wuvsak3wz2tvef","","create-new",""
"MLB4571218709","JOTABÊ AUTOPEÇAS","MLB431318","Suporte Caixa Fusivel Volkswagen Up 2018","28348","SELLER_SKU","89","1","15","15","15","0.6","fallback:SMALL","cmmwc4c8e07dtvsakwoqrswu2","","create-new",""
"MLB4571156319","JOTABÊ AUTOPEÇAS","MLB194062","Cinto Segurança Traseiro Direito Volkswagen Gol G3 2000","28344","SELLER_SKU","79","1","10","10","50","0.8","cat:MLB194062->SMALL_LONG","cmmwbz0kd033jvsak9jcsjf8i","","create-new",""
"MLB4571686279","JOTABÊ AUTOPEÇAS","MLB63548","Painel Instrumentos Velocimentro Ford Ka Final 609 Preto","28385","SELLER_SKU","250","3","15","40","40","2","cat:MLB63548->MEDIUM_FLAT","cmmwc6amw08z6vsak6jxxbvke","","create-new",""
"MLB4571708617","JOTABÊ AUTOPEÇAS","MLB47089","Painel Instrumento Renault Kwid 2018 Preto","28391","SELLER_SKU","274","2","15","40","40","2","cat:MLB47089->MEDIUM_FLAT","cmmwbz0kd0338vsakfarrneid","","create-new",""
"MLB4571314659","JOTABÊ AUTOPEÇAS","MLB101763","Porta Traseira Direita Volkswagen Gol G5 2011 Traseira Direita Prata","28358","SELLER_SKU","279","1","30","50","80","12","cat:MLB101763->XLARGE","cmmwc3rfp06x0vsak3s2x0o8h","","create-new",""
"MLB4571111309","JOTABÊ AUTOPEÇAS","MLB31156","Alça Teto Pqp Direito Chevrolet Corsa 2011 Branco","28343","SELLER_SKU","59","1","10","10","50","0.8","cat:MLB31156->SMALL_LONG","cmmwbyzgx032nvsakx626btxf","","create-new",""
"MLB4571532917","JOTABÊ AUTOPEÇAS","MLB194062","Cinto Segurança Traseiro Esquerdo Volkswagen Gol G7 2018","28380","SELLER_SKU","129","1","10","10","50","0.8","cat:MLB194062->SMALL_LONG","cmmwbz0kd033jvsak9jcsjf8i","","create-new",""
"MLB4571497611","JOTABÊ AUTOPEÇAS","MLB432801","Chicote Injeçao Volkswagen Gol G7 1.6 8v 2018","28372","SELLER_SKU","399","1","15","15","15","0.6","fallback:SMALL","cmmwc3o0u06u4vsaks2d45ukf","","create-new",""
"MLB4571461437","JOTABÊ AUTOPEÇAS","MLB191714","Motor Vidro Dianteiro Direito Volkswagen Gol Voyage G5 2010","28368","SELLER_SKU","25","1","15","15","15","0.6","cat:MLB191714->SMALL","cmmwc42u00763vsakunc8b6xt","","create-new",""
"MLB4571457041","JOTABÊ AUTOPEÇAS","MLB191714","Modulo Vidro Porta Dianteira Direita Chevrolet Cobalt 2016","28365","SELLER_SKU","29","2","15","15","15","0.6","cat:MLB191714->SMALL","cmmwc42u00763vsakunc8b6xt","","create-new",""
"MLB4571531707","JOTABÊ AUTOPEÇAS","MLB194062","Engate Cinto Dianteiro Direito Volkswagen Gol G7 2018","28378","SELLER_SKU","99","1","10","10","50","0.8","cat:MLB194062->SMALL_LONG","cmmwbz0kd033jvsak9jcsjf8i","","create-new",""
"MLB4571760323","JOTABÊ AUTOPEÇAS","MLB47089","Painel Instrumento Fiat Uno Preto","28397","SELLER_SKU","89","3","15","40","40","2","cat:MLB47089->MEDIUM_FLAT","cmmwbz0kd0338vsakfarrneid","","create-new",""
"MLB4571696397","JOTABÊ AUTOPEÇAS","MLB456392","Painel Instrumentos Velocimentro Ford Ka Final 103 Cinza","28386","SELLER_SKU","250","1","15","15","15","0.6","fallback:SMALL","cmmwc6are08zfvsakixtcyn03","","create-new",""
"MLB4571285687","JOTABÊ AUTOPEÇAS","MLB101763","Porta Traseira Direita Volkswagen Gol G5 2011 Traseira Direita Preto","28356","SELLER_SKU","339","1","30","50","80","12","cat:MLB101763->XLARGE","cmmwc3rfp06x0vsak3s2x0o8h","","create-new",""
"MLB4571759519","JOTABÊ AUTOPEÇAS","MLB47089","Painel Instrumento Renault Sandero 2013 Preto","28396","SELLER_SKU","277.51","1","15","40","40","2","cat:MLB47089->MEDIUM_FLAT","cmmwbz0kd0338vsakfarrneid","","create-new",""
"MLB4571123695","JOTABÊ AUTOPEÇAS","MLB47110","Coletor Admissão Volkswagen Gol 1.0 G4 2008","28342","SELLER_SKU","349","1","25","25","25","2","cat:MLB47110->MEDIUM","cmmwbyxfx030xvsak16p9q9bd","","create-new",""
"MLB4571165393","JOTABÊ AUTOPEÇAS","MLB194775","Dobradiça Tampa Traseira Esquerda Ford Fusion 2008","28350","SELLER_SKU","119","1","30","80","100","18","kw:XXLARGE","cmmwc3p4i06v2vsakqouojgve","","create-new",""
"MLB6537402844","JOTABÊ AUTOPEÇAS","MLB101763","Porta Traseira Esquerda Ford Ecosport 2007 Traseira Esq Cinza","28272","SELLER_SKU","259","1","30","50","80","12","cat:MLB101763->XLARGE","cmmwc3rfp06x0vsak3s2x0o8h","","create-new",""
"MLB6545348790","JOTABÊ AUTOPEÇAS","MLB194431","Fechadura Dianteira Direita Volkswagen Gol G5 2010","28474","SELLER_SKU","29","1","15","15","15","0.6","cat:MLB194431->SMALL","cmmwbyu8402y4vsak8eajhedp","","create-new",""
"MLB6545555472","JOTABÊ AUTOPEÇAS","MLB22645","Lanterna Traseira Direita Ford Ka Hatch 2015 Direito/passageiro Vermelho","28493","SELLER_SKU","100","1","25","25","25","2","cat:MLB22645->MEDIUM","cmmwc40oc074gvsak3q821qhi","","create-new",""
"MLB4570061145","JOTABÊ AUTOPEÇAS","MLB101763","Porta Dianteira Direita Ford Fiesta 2006 2009 Dianteira Direita Prata","28260","SELLER_SKU","349","1","30","50","80","12","cat:MLB101763->XLARGE","cmmwc3rfp06x0vsak3s2x0o8h","","create-new",""
"MLB6545350820","JOTABÊ AUTOPEÇAS","MLB194431","Fechadura Traseira Esquerda Volkswagen Gol G5 2010","28476","SELLER_SKU","29","1","15","15","15","0.6","cat:MLB194431->SMALL","cmmwbyu8402y4vsak8eajhedp","","create-new",""
"MLB6545347924","JOTABÊ AUTOPEÇAS","MLB456390","Acabamento Inferior Chave Seta Volkswagen Up 2015","28473","SELLER_SKU","89","1","10","10","50","0.8","cat:MLB456390->SMALL_LONG","cmmwc3mxa06t4vsakq956rewf","","create-new",""
"MLB6545295304","JOTABÊ AUTOPEÇAS","MLB270299","Pedal Acelerador Volkswagen Up 2014","28465","SELLER_SKU","89","1","15","15","15","0.6","cat:MLB270299->SMALL","cmmwc4ao907cmvsak6h92axg5","","create-new",""
"MLB6545473352","JOTABÊ AUTOPEÇAS","MLB22645","Lanterna Traseira Direita Ford Ka Hatch 2015 Direito/passageiro Vermelho","28491","SELLER_SKU","245","1","25","25","25","2","cat:MLB22645->MEDIUM","cmmwc40oc074gvsak3q821qhi","","create-new",""
"MLB6545342848","JOTABÊ AUTOPEÇAS","MLB192359","Flauta Bico Injetor Fiat Freemont 2.4 2012","28480","SELLER_SKU","129","1","10","10","50","0.8","cat:MLB192359->SMALL_LONG","cmmwbywxe030ivsak3giasz2t","","create-new",""
"MLB6545319368","JOTABÊ AUTOPEÇAS","MLB22645","Lanterna Traseira Esquerda Chevrolet Cruze 2020 Esquerdo/motorista Vermelho","28469","SELLER_SKU","270","1","25","25","25","2","cat:MLB22645->MEDIUM","cmmwc40oc074gvsak3q821qhi","","create-new",""
"MLB6545301164","JOTABÊ AUTOPEÇAS","MLB22645","Lanterna Traseira Esquerda Chery Tiggo 5x 2019 Esquerdo/motorista Vermelho","28467","SELLER_SKU","179","1","25","25","25","2","cat:MLB22645->MEDIUM","cmmwc40oc074gvsak3q821qhi","","create-new",""
"MLB6545410564","JOTABÊ AUTOPEÇAS","MLB22645","Lanterna Traseira Esquerda Honda Fit 2004 Esquerdo/motorista Vermelho","28489","SELLER_SKU","100","1","25","25","25","2","cat:MLB22645->MEDIUM","cmmwc40oc074gvsak3q821qhi","","create-new",""
"MLB6545317590","JOTABÊ AUTOPEÇAS","MLB428943","Refletor Olho Gato Traseiro Esquerdo Volkswagen Up 2018 Vermelho","28468","SELLER_SKU","25","1","15","15","15","0.6","fallback:SMALL","cmmwbywxu030jvsakccg343qd","","create-new",""
"MLB6545377432","JOTABÊ AUTOPEÇAS","MLB194431","Fechadura Porta Traseira Direita Fiat Palio 2002","28485","SELLER_SKU","29","1","15","15","15","0.6","cat:MLB194431->SMALL","cmmwbyu8402y4vsak8eajhedp","","create-new",""
"MLB6545375214","JOTABÊ AUTOPEÇAS","MLB193785","Tampa Reservatorio Agua Volkswagen Up 2015","28484","SELLER_SKU","29","1","10","10","10","0.3","cat:MLB193785->TINY","cmmwc45l5078kvsakzsqocu0d","","create-new",""
"MLB6545338568","JOTABÊ AUTOPEÇAS","MLB22645","Lanterna Traseira Direita Volkswagen Fox 1.6 2014 Direito/passageiro Vermelho","28472","SELLER_SKU","120","1","25","25","25","2","cat:MLB22645->MEDIUM","cmmwc40oc074gvsak3q821qhi","","create-new",""
"MLB6545469538","JOTABÊ AUTOPEÇAS","MLB22645","Lanterna Traseira Direita Fiat Siena 2005 Direito/passageiro Vermelho","28490","SELLER_SKU","110","1","25","25","25","2","cat:MLB22645->MEDIUM","cmmwc40oc074gvsak3q821qhi","","create-new",""
